PWS ID,lat,lng,FIPS
MS0420006,33.4080413000,-90.2086407000,28083
VA5007135,37.3426037000,-77.9805478000,51007
KS2020108,39.8938922000,-96.8794698000,20201
MN1020029,45.1077433000,-93.2380038000,27003
MI0001880,41.9572676000,-83.6596596000,26115
TX1010027,29.7183467000,-95.4306141000,48201
CA1910191,33.9077751000,-118.0830047000,06037
CA3610053,34.0593543000,-117.0087877000,06071
IL1110900,42.2330782000,-88.5423132000,17111
NY4500171,43.0138761000,-73.6771662000,36091
MI0003130,43.5689029000,-86.0395071000,26127
GA0510005,32.0002152000,-80.8456660000,13051
MA2321000,42.3789736000,-71.7859720000,25027
IL1530150,37.1142176000,-89.1978530000,17153
NC0446015,36.4423754000,-77.0985752000,37091
ID7100020,43.4926607000,-112.0407584000,16019
VA6059450,38.7040514000,-77.1600201000,51059
WI7290121,43.9224669000,-90.2715192000,55057
TX1010098,29.8054835000,-95.5564777000,48201
LA1063004,30.4200000000,-90.8900000000,22063
IL1870050,40.8658717000,-90.7484702000,17187
TX1750031,32.0928445000,-96.4647723000,48349
MO2010745,39.2180805000,-93.0690852000,29195
KS2004112,38.9172216000,-97.2139094000,20041
CA3610004,34.1559542000,-117.4027743000,06071
OH7005912,40.8018717000,-81.5706109000,39151
OR4100500,44.6334544000,-121.1294872000,41031
TX1550006,31.3082273000,-97.3613977000,48309
OK2006206,34.6275878000,-96.8408469000,40123
OK3005721,36.5620247000,-96.1616673000,40113
KY0430244,37.4800544000,-86.2938637000,21085
PA5100093,40.7945096000,-80.1367271000,42019
IL0314030,42.0655403000,-87.9873724000,17031
MI0040399,43.1025880000,-77.5354520000,36055
TX0140004,30.9315741000,-97.2266632000,48027
